"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C5, C6, C8";"C_0603_1608Metric";4;"0.1uF";;;
2;"C2, C3, C4";"C_0805_2012Metric";3;"10uF";;;
3;"C7";"CP_Radial_D6.3mm_P2.50mm";1;"100UF";;;
4;"D1";"WS2812_5050-4Pin";1;"WS2812B_5050";;;
5;"IC1";"tgs2611c00";1;"SR-6";;;
6;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"GPIO";;;
7;"J2, J4, J6, J9";"JST_1x04_P1.0mm_Vertical_SMD";4;"Qwiic_Vertical";;;
8;"J3";"679305124022";1;"679305124022";;;
9;"J5";"M20-7830542";1;"M20-7830542";;;
10;"J7";"MOLEX_5013310607";1;"5013310607";;;
11;"J8";"JST_1x04_P1.0mm_Vertical_SMD";1;"Qwiic_4pin_Vertical";;;
12;"J11";"AMPHENOL_10132328-10011LF";1;"10132328-10011LF";;;
13;"JP1, JP2, JP3, JP4";"Jumper_2_NO";4;"~";;;
14;"Q1";"SOT-363";1;"BSS138";;;
15;"Q2";"SOT-363";1;"BSS138";;;
16;"R1, R2, R5, R13";"R_Array_Convex_4x0603";4;"10k";;;
17;"R3";"R_0603_1608Metric";1;"2k";;;
18;"R4";"R_0805_2012Metric";1;"0.1";;;
19;"R6";"RESC1607X60N";1;"5.1k";;;
20;"R7";"R_0603_1608Metric";1;"5.1k";;;
21;"R8";"RESC1607X60N";1;"330";;;
22;"R9, R10";"R_0603_1608Metric";2;"10k";;;
23;"R11, R12";"R_0402_1005Metric";2;"3.3k";;;
24;"S1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"NK236";;;
25;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
26;"U2, U5";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";2;"BME280";;;
27;"U3";"SOT-23-8";1;"INA219BxDCN";;;
