Ref,Val,Package,PosX,PosY,Rot,Side
"J1","GPIO","PinSocket_2x20_P2.54mm_Vertical",-34.100000,23.000000,-90.000000,bottom
"J11","10132328-10011LF","10132328-10011LF",-10.000000,0.000000,180.000000,bottom
"R6","RC0603FR-075K1L","RC0603N_YAG-L",-16.000000,-1.000000,90.000000,bottom
"R7","RC0603FR-075K1L","RC0603N_YAG-L",-4.000000,-1.000000,-90.000000,bottom
