C1, 10.03, 7.11, 270.00, 0.1µF, 0603-NO
C2, 8.26, 7.11, 270.00, 10uF, 0805-NO
CONN3, 22.17, 10.16, 90.00, STEMMA_I2C_QT, JST_SH4
CONN4, 3.23, 10.16, 270.00, STEMMA_I2C_QT, JST_SH4
D1, 2.92, 14.61, 90.00, GREEN, CHIPLED_0603_NOOUTLINE
R5, 18.03, 16.26, 0.00, 0.1/1% (PT2512FK-070R1L), 2512
R6, 16.38, 6.99, 270.00, 10K, RESPACK_4X0603
R7, 5.46, 13.72, 90.00, 10K, 0603-NO
U1, 12.57, 6.99, 180.00, INA219BIDCNT, SOT23-8
