,,,,,
,,,,,
Designator,Mid X,Mid Y,Layer,Rotation,Comments
J1,15,35,Top,0,"TGS2611-C00 - TO180P920X780-4P - Methane, Natural Gas sensor from Figaro"
J2,15.32,4.45,Top,0,HARWIN_M20-9980346
J3,7.5,20,Top,270,HARWIN_M20-9990246
J4,22.5,20,Top,90,HARWIN_M20-9990246
