,,,,,
,,,,,
Designator,Mid X,Mid Y,Layer,Rotation,Comments
C1,10.03,7.11,Top,270,0.1µF - 603
C2,8.26,7.11,Top,270,10uF - _0805MP
CONN3,22.17,10.16,Top,90,STEMMA_I2C_QT - JST_SH4
CONN4,3.23,10.16,Top,270,STEMMA_I2C_QT - JST_SH4
D1,2.92,14.61,Top,90,GREEN - CHIPLED_0603_NOOUTLINE
R5,18.03,16.26,Top,0,0.1/1% (PT2512FK-070R1L) - 2512
R6,16.38,6.99,Top,270,10K - RESPACK_4X0603
R7,5.46,13.72,Top,90,10K - _0603MP
U1,12.57,6.99,Top,180,INA219BIDCNT - SOT23-8
J1,5.207,20.574,Top,180,"TGS2611-C00 - TO180P920X780-4P - Methane, Natural Gas sensor from Figaro"
J2,13.335,22.352,Top,90,HARWIN_M20-9990246 
J3,18.034,22.352,Top,90,HARWIN_M20-9990246 
A0,20.83,5.71,Bottom,0,SOLDERJUMPER_REFLOW_NOPASTE
A1,20.83,7.87,Bottom,0,SOLDERJUMPER_REFLOW_NOPASTE
